,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
0,EDDIE' SOLUTION L.L.C.,202110911235,us_ca,2021-04-15,,,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2021-05-16T12:30:18+00:00,2021-05-16T12:30:18+00:00,2021-04-30T18:30:00+00:00,https://opencorporates.com/companies/us_ca/202110911235,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2021-04-30T18:30:00+00:00'}",,,[],,
1,EDDIE' SOLUTION L.L.C.,202110911236,us_ca,2021-04-15,,,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2021-05-16T12:30:18+00:00,2022-08-10T02:36:13+00:00,2021-04-30T18:30:00+00:00,https://opencorporates.com/companies/us_ca/202110911236,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2021-04-30T18:30:00+00:00'}",,,[],,
2,EDDIE' SOLUTION L.L.C.,202110911234,us_ca,2021-04-15,,,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2021-05-16T12:30:18+00:00,2021-05-16T12:30:18+00:00,2021-04-30T18:30:00+00:00,https://opencorporates.com/companies/us_ca/202110911234,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2021-04-30T18:30:00+00:00'}",,,[],,
3,EDDIE' SOLUTION L.L.C.,202110911237,us_ca,2021-04-15,,,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2021-05-16T12:30:18+00:00,2021-05-16T12:30:18+00:00,2021-04-30T18:30:00+00:00,https://opencorporates.com/companies/us_ca/202110911237,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2021-04-30T18:30:00+00:00'}",,,[],,
4,! ! ! # 1 IPAD TUTORING ! ! !,3084720,us_ca,2008-05-12,2020-12-14,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated,2011-09-17T00:54:57+00:00,2025-02-11T22:36:16+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3084720,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '10401 VENICE BLVD STE 355', 'locality': 'LOS ANGELES', 'region': 'CA', 'postal_code': '90034', 'country': 'United States'}","10401 VENICE BLVD STE 355, LOS ANGELES, CA, 90034",[],,
5,! ! ! #1 AAVANTE,3615049,us_ca,2013-10-24,2016-03-01,Stock Corporation - Out of State - Stock,https://bizfileonline.sos.ca.gov/search/business,F,branch of an out-of-jurisdiction company,True,Forfeited   Ftb,2013-11-01T05:11:40+00:00,2025-02-11T16:44:19+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3615049,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '21781 VENTURA BLVD STE #418', 'locality': 'WOODLAND HILLS', 'region': 'CA', 'postal_code': '91364', 'country': 'United States'}","21781 VENTURA BLVD STE #418, WOODLAND HILLS, CA, 91364",[],,
6,"! ! ! 1ST CHOICE ANDROID SMART-PHONE TUTORING, INC.",3517133,us_ca,2012-11-02,2016-10-11,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated,2012-11-10T03:15:55+00:00,2025-02-11T03:06:06+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3517133,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '420 N MCKINLEY ST #111-182', 'locality': 'CORONA', 'region': 'CA', 'postal_code': '92879', 'country': 'United States'}","420 N MCKINLEY ST #111-182, CORONA, CA, 92879",[],,
7,! ! ! APPLE IPAD & ANDROID TABLET TUTORING ! ! !,3110952,us_ca,2009-10-06,,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2011-09-17T02:05:50+00:00,2025-02-12T07:05:13+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3110952,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '9800 WILSHIRE BLVD', 'locality': 'BEVERLY HILLS', 'region': 'CA', 'postal_code': '90212', 'country': 'United States'}","9800 WILSHIRE BLVD, BEVERLY HILLS, CA, 90212",[],,
8,! ! # 1 2 3 ! ! COMPUTADORA GRATIS PARA TI,3426562,us_ca,2011-11-23,2013-10-01,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Suspended   Ftb,2013-06-19T20:58:58+00:00,2025-02-10T10:39:56+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3426562,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '1348 N SIERRA BONITA #307,\nWEST HOLLYWOOD, CA 90046', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","1348 N SIERRA BONITA #307,
WEST HOLLYWOOD, CA 90046",[],,
9,"! ! # 1 AT-HOME TUTORS, INC.",3358492,us_ca,2011-03-16,2013-10-28,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Merged Out,2011-09-17T21:41:58+00:00,2025-02-11T22:55:34+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3358492,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '5777 W. CENTURY BLVD., SUITE 300', 'locality': 'LOS ANGELES', 'region': 'CA', 'postal_code': '90045', 'country': 'United States'}","5777 W. CENTURY BLVD., SUITE 300, LOS ANGELES, CA, 90045",[],,
10,! ! 1 A 1 TUTORIA TABLET COMPUTER ! !,2816862,us_ca,2005-09-16,2020-12-14,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated,2011-09-22T18:16:18+00:00,2025-02-11T10:29:43+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2816862,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '10401 VENICE BLVD. SUITE 355', 'locality': 'LOS ANGELES', 'region': 'CA', 'postal_code': '90034', 'country': 'United States'}","10401 VENICE BLVD. SUITE 355, LOS ANGELES, CA, 90034",[],,
11,! # 1 TOUCH-SCREEN TABLET COMPUTER TUTORING,3384091,us_ca,2011-05-25,2016-11-18,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated,2011-09-20T14:30:27+00:00,2025-02-10T10:50:54+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3384091,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '3576 ARLINGTON AVE #304', 'locality': 'RIVERSIDE', 'region': 'CA', 'postal_code': '92506', 'country': 'United States'}","3576 ARLINGTON AVE #304, RIVERSIDE, CA, 92506",[],,
12,"! 1 2 3 ! MAESTROS LATINOS, INC.",3426563,us_ca,2011-11-23,2013-10-01,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Suspended   Ftb,2013-06-19T20:58:58+00:00,2025-02-10T14:56:14+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3426563,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '833 N EDINBURGH,\nLOS ANGELES, CA 90046', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","833 N EDINBURGH,
LOS ANGELES, CA 90046",[],,
13,"! ACE TUTORING SERVICES, INC.",2102415,us_ca,1999-02-17,2016-12-30,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated,2011-09-20T18:03:17+00:00,2025-02-11T19:57:11+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2102415,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '3576 ARLINGTON AVE., SUITE 300', 'locality': 'RIVERSIDE', 'region': 'CA', 'postal_code': '92506', 'country': 'United States'}","3576 ARLINGTON AVE., SUITE 300, RIVERSIDE, CA, 92506",[],,
14,"! ACHIEVE SUCCESS, LLC",201108210031,us_ca,2011-03-22,2021-10-27,Limited Liability Company - Out of State,https://bizfileonline.sos.ca.gov/search/business,F,branch of an out-of-jurisdiction company,True,Terminated,2014-08-19T05:55:31+00:00,2025-02-12T19:28:37+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/201108210031,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '100 NE 95 ST', 'locality': 'MIAMI SHORES', 'region': 'FL', 'postal_code': '33138', 'country': 'United States'}","100 NE 95 ST, MIAMI SHORES, FL, 33138",[],,
15,! Exclamation CE ! LLC,202461912563,us_ca,2024-04-18,,Limited Liability Company - CA,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2024-06-10T16:50:30+00:00,2025-02-20T02:45:27+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/202461912563,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '1060 BROADWAY, #1155', 'locality': 'ALBANY', 'region': 'NY', 'postal_code': '12204', 'country': 'United States'}","1060 BROADWAY, #1155, ALBANY, NY, 12204",[],,
16,"!!!@ALL THINGS THROUGH LEARNING, INC",3431178,us_ca,2011-11-09,2013-12-02,Stock Corporation - Out of State - Stock,https://bizfileonline.sos.ca.gov/search/business,F,branch of an out-of-jurisdiction company,True,Forfeited   Ftb,2013-06-19T20:58:03+00:00,2025-02-12T00:49:52+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/3431178,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '2202 NORTH HAROLD AVE', 'locality': 'TAMPA', 'region': 'FL', 'postal_code': '33607', 'country': 'United States'}","2202 NORTH HAROLD AVE, TAMPA, FL, 33607",[],,
17,!?! I GIVE A RATS ASS !?! LLC,202200410638,us_ca,2022-01-02,,Limited Liability Company - CA,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2022-01-11T03:13:06+00:00,2025-02-12T17:00:14+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/202200410638,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '265 KAER AVE., 265 KAER AVE', 'locality': 'RED BLUFF', 'region': 'CA', 'postal_code': '96080', 'country': 'United States'}","265 KAER AVE., 265 KAER AVE, RED BLUFF, CA, 96080",[],,
18,"!ARRIBA!, INC.",2962267,us_ca,2007-01-05,2008-09-02,Stock Corporation - CA - General,https://bizfileonline.sos.ca.gov/search/business,,,True,Suspended   Ftb,2011-09-20T16:09:17+00:00,2025-02-10T19:32:02+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2962267,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '10153 1/2 RIVERSIDE DRIVE #254', 'locality': 'TOLUCA LAKE', 'region': 'CA', 'postal_code': '91602', 'country': 'United States'}","10153 1/2 RIVERSIDE DRIVE #254, TOLUCA LAKE, CA, 91602",[],,
19,!ART NOW!,2285029,us_ca,2001-10-04,2018-03-28,Nonprofit Corporation - CA - Public Benefit,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated   Ftb Admin,2011-09-21T09:33:32+00:00,2025-02-11T21:55:39+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2285029,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': 'PO BOX 12204,\nSAN DIEGO, CA 92112', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","PO BOX 12204,
SAN DIEGO, CA 92112",[],,
20,!AY BROWS! LLC,201924910408,us_ca,2019-09-03,,Limited Liability Company - CA,https://bizfileonline.sos.ca.gov/search/business,,,False,Active,2020-01-18T05:08:25+00:00,2025-02-12T22:18:31+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/201924910408,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '3966 CAMEO DR', 'locality': 'OCEANSIDE', 'region': 'CA', 'postal_code': '92056', 'country': 'United States'}","3966 CAMEO DR, OCEANSIDE, CA, 92056",[],,
21,"!HABLA! HARVESTING ASIAN, BLACK, LATINO ARTISTS",2907750,us_ca,2006-12-06,2018-03-28,Nonprofit Corporation - CA - Public Benefit,https://bizfileonline.sos.ca.gov/search/business,,,True,Terminated   Ftb Admin,2011-09-20T15:11:11+00:00,2025-02-11T04:03:46+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2907750,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '935 CHUNG KING RD', 'locality': 'LOS ANGELES', 'region': 'CA', 'postal_code': '90019', 'country': 'United States'}","935 CHUNG KING RD, LOS ANGELES, CA, 90019",[],,
22,!HEY INC.,2232896,us_ca,2000-05-05,2002-10-23,Stock Corporation - Out of State - Stock,https://bizfileonline.sos.ca.gov/search/business,F,branch of an out-of-jurisdiction company,True,Forfeited   Ftb/Sos,2011-09-21T04:59:20+00:00,2025-02-11T06:58:27+00:00,2025-01-31T00:00:00+00:00,https://opencorporates.com/companies/us_ca/2232896,[],[],"{'publisher': 'California Secretary of State', 'url': 'https://bizfileonline.sos.ca.gov/search/business', 'retrieved_at': '2025-01-31T00:00:00+00:00'}","{'street_address': '43 HIGH STREET', 'locality': 'NORTH ANDOVER', 'region': 'MA', 'postal_code': '01845', 'country': 'United States'}","43 HIGH STREET, NORTH ANDOVER, MA, 01845",[],,
