,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
0,"! BETTER BIOLOGICS, LLC",6703566,us_ny,2023-01-19,,DOMESTIC LIMITED LIABILITY COMPANY,https://apps.dos.ny.gov/publicInquiry/,,,False,Active,2023-01-25T06:21:21+00:00,2025-02-17T17:11:25+00:00,2025-02-10T12:37:22+00:00,https://opencorporates.com/companies/us_ny/6703566,[],[],"{'publisher': 'New York Department of State', 'url': 'https://apps.dos.ny.gov/publicInquiry/', 'retrieved_at': '2025-02-10T12:37:22+00:00'}","{'street_address': '600  MAMARONECK AVENUE #400', 'locality': 'HARRISON', 'region': 'NY', 'postal_code': '10528', 'country': 'United States'}","600  MAMARONECK AVENUE #400, HARRISON, NY, 10528",[],,
1,! XPP INC,5269485,us_ny,2018-01-18,,DOMESTIC BUSINESS CORPORATION,https://apps.dos.ny.gov/publicInquiry/,,,True,Inactive,2018-02-15T23:12:56+00:00,2025-02-18T06:34:30+00:00,2023-09-18T11:40:56+00:00,https://opencorporates.com/companies/us_ny/5269485,[],[],"{'publisher': 'New York Department of State', 'url': 'https://apps.dos.ny.gov/publicInquiry/', 'retrieved_at': '2023-09-18T11:40:56+00:00'}","{'street_address': '18 FIRST ST', 'locality': 'SYOSSET', 'region': 'NY', 'postal_code': '11791', 'country': 'United States'}","18 FIRST ST, SYOSSET, NY, 11791",[],,
2,"!ACTION PANDA, INC.",2767268,us_ny,2002-05-15,2010-10-27,DOMESTIC BUSINESS CORPORATION,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2767268&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0,,,True,Inactive   Dissolution By Proclamation / Annulment Of Authority,2013-09-04T00:49:56+00:00,2016-04-20T13:43:26+00:00,2016-04-18T22:17:01+00:00,https://opencorporates.com/companies/us_ny/2767268,"[{'company_name': '!ACTION PANDA, INC.', 'start_date': '2002-05-15'}]",[],"{'publisher': 'New York Department of State', 'url': 'https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2767268&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0', 'retrieved_at': '2016-04-18T22:17:01+00:00'}","{'street_address': '134-16 BOOTH MEMORIAL AVENUE, FLUSHING, NEW YORK, 11355', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","134-16 BOOTH MEMORIAL AVENUE, FLUSHING, NEW YORK, 11355",[],,
3,!ASP IT INC.,5551357,us_ny,2019-05-13,,DOMESTIC BUSINESS CORPORATION,https://apps.dos.ny.gov/publicInquiry/,,,False,Active,2019-06-15T04:41:25+00:00,2025-02-18T03:20:33+00:00,2025-02-10T12:37:22+00:00,https://opencorporates.com/companies/us_ny/5551357,[],[],"{'publisher': 'New York Department of State', 'url': 'https://apps.dos.ny.gov/publicInquiry/', 'retrieved_at': '2025-02-10T12:37:22+00:00'}","{'street_address': '60 BROAD ST SUITE 3101', 'locality': 'NEW YORK', 'region': 'NY', 'postal_code': '10004', 'country': 'United States'}","60 BROAD ST SUITE 3101, NEW YORK, NY, 10004",[],,
4,!BLIPP! INC.,2615996,us_ny,2001-03-14,2010-07-28,DOMESTIC BUSINESS CORPORATION,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2615996&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0,,,True,Inactive   Dissolution By Proclamation / Annulment Of Authority,2013-09-03T23:03:28+00:00,2016-04-17T13:39:21+00:00,2016-04-15T11:09:19+00:00,https://opencorporates.com/companies/us_ny/2615996,"[{'company_name': '!BLIPP! INC.', 'start_date': '2001-03-14'}]",[],"{'publisher': 'New York Department of State', 'url': 'https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2615996&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0', 'retrieved_at': '2016-04-15T11:09:19+00:00'}","{'street_address': '101 WEST 72ND STREET, NEW YORK, NEW YORK, 10023', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","101 WEST 72ND STREET, NEW YORK, NEW YORK, 10023",[],,
5,!FESTCOFFEEMISSION US INC.,6227089,us_ny,2021-07-23,,DOMESTIC BUSINESS CORPORATION,https://apps.dos.ny.gov/publicInquiry/,,,True,Inactive,2022-04-02T20:37:42+00:00,2025-02-17T21:41:41+00:00,2024-11-04T12:53:38+00:00,https://opencorporates.com/companies/us_ny/6227089,[],[],"{'publisher': 'New York Department of State', 'url': 'https://apps.dos.ny.gov/publicInquiry/', 'retrieved_at': '2024-11-04T12:53:38+00:00'}","{'street_address': '29 LAUREL AVE', 'locality': 'FLANDERS', 'region': 'NY', 'postal_code': '11901', 'country': 'United States'}","29 LAUREL AVE, FLANDERS, NY, 11901",[],,
6,!K7 RECORDS GMBH,3281337,us_ny,2005-11-15,,FOREIGN BUSINESS CORPORATION,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=3281337&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0,F,branch of an out-of-jurisdiction company,False,Active,2013-08-17T09:42:29+00:00,2025-02-19T07:08:46+00:00,2025-02-10T12:37:22+00:00,https://opencorporates.com/companies/us_ny/3281337,"[{'company_name': '!K7 RECORDS GMBH', 'start_date': '2005-11-15'}]",[],"{'publisher': 'New York Department of State', 'url': 'https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=3281337&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0', 'retrieved_at': '2025-02-10T12:37:22+00:00'}","{'street_address': 'HORST WEIDENMUELLER, 55 WASHINGTON STREET STE', 'locality': 'BROOKLYN', 'region': 'NY', 'postal_code': '11201', 'country': 'United States'}","HORST WEIDENMUELLER, 55 WASHINGTON STREET STE, BROOKLYN, NY, 11201",[],,
7,"!MPERFECTIONS, LLC",2767192,us_ny,2002-05-15,,DOMESTIC LIMITED LIABILITY COMPANY,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2767192&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0,,,False,Active,2013-08-17T20:39:56+00:00,2025-02-19T11:43:27+00:00,2025-02-10T12:37:22+00:00,https://opencorporates.com/companies/us_ny/2767192,"[{'company_name': '!MPERFECTIONS, LLC', 'start_date': '2002-05-15'}]",[],"{'publisher': 'New York Department of State', 'url': 'https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2767192&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0', 'retrieved_at': '2025-02-10T12:37:22+00:00'}","{'street_address': '143 EAST 63RD STREET', 'locality': 'NEW YORK', 'region': 'NY', 'postal_code': '10022', 'country': 'United States'}","143 EAST 63RD STREET, NEW YORK, NY, 10022",[],,
8,!MPLOSION MEDIA INC.,2181015,us_ny,1997-09-16,2001-06-27,DOMESTIC BUSINESS CORPORATION,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2181015&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0,,,True,Inactive   Dissolution By Proclamation / Annulment Of Authority,2013-09-03T13:28:07+00:00,2016-07-19T19:31:38+00:00,2016-07-19T04:11:15+00:00,https://opencorporates.com/companies/us_ny/2181015,"[{'company_name': '!MPLOSION MEDIA INC.', 'start_date': '1997-09-16'}]",[],"{'publisher': 'New York Department of State', 'url': 'https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=2181015&p_entity_name=%25&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0', 'retrieved_at': '2016-07-19T04:11:15+00:00'}","{'street_address': 'C/O SHEA STONE, 160 WEST 85TH STREET, SUITE 3J, NEW YORK, NEW YORK, 10024', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","C/O SHEA STONE, 160 WEST 85TH STREET, SUITE 3J, NEW YORK, NEW YORK, 10024",[],,
9,!NISH CLOTHING LLC,5071492,us_ny,2017-01-20,,DOMESTIC LIMITED LIABILITY COMPANY,https://apps.dos.ny.gov/publicInquiry/,,,False,Active,2017-04-17T11:44:29+00:00,2025-02-18T08:48:04+00:00,2025-02-10T12:37:22+00:00,https://opencorporates.com/companies/us_ny/5071492,[],[],"{'publisher': 'New York Department of State', 'url': 'https://apps.dos.ny.gov/publicInquiry/', 'retrieved_at': '2025-02-10T12:37:22+00:00'}","{'street_address': '99 ELMWOOD AVENUE', 'locality': 'HEMPSTEAD', 'region': 'NY', 'postal_code': '11550', 'country': 'United States'}","99 ELMWOOD AVENUE, HEMPSTEAD, NY, 11550",[],,
